kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
7870250,non-candidate,0.580724809,131.72956,0.292,1.82,64.2,83.11,16.9,1,0.993,5989,4.492,0.933,0.986,14.569
11651712,candidate,14.53260546,140.4685,0.112,2.4212,328.9,89.86,29,1,0.2915,6003,4.507,0.932,1.019,13.785
4945877,non-candidate,1.339670241,132.16786,0.602,1.895,28.6,82.16,21.7,1,0.0005,8867,3.988,2.245,1.789,10.455
6289344,non-candidate,160.4122022,262.40022,0.903,4.92,2538,89.62,24.4,1,0,5269,4.62,0.727,0.812,15.407
9843517,candidate,11.9378354,133.2612,0.036,4.652,246,89.9,9.6,1,0.9246,5469,4.611,0.738,0.826,15.954
9011877,candidate,7.77710639,133.86539,0.196,3.418,77.4,89.35,10.6,1,0.0959,5073,4.481,0.851,0.8,13.725
12013615,non-candidate,8.202869679,138.5109062,0.561,7.29811,345940,87.54,6499.9,1,-1,6060,4.059,1.643,1.129,13.878
3848083,candidate,8.4795266,138.1276,0.136,6.052,163.3,89.27,8,1,0.8473,5841,4.52,0.931,1.047,15.994
7976520,candidate,4.17838675,171.98866,0.617,2.123,316,87.1,15.1,1,0.7127,5746,4.039,1.687,1.136,13.813
10861608,non-candidate,174.9598048,151.16448,,5.23,,,,1,,,,,,15.246
10070479,candidate,1.758599866,131.7968,0.035,0.2729,237.8,89.95,11.9,1,,4744,4.606,0.725,0.772,15.59
8848271,non-candidate,9.991625291,137.447816,1.256,3.8552,3450.5,81.5,220.3,1,0.9011,5874,4.338,1.096,0.954,14.039
6784235,candidate,3.167893418,172.147959,0.026,2.1814,781.2,89.87,64.8,1,0.8648,5895,4.503,0.94,1.026,15.533
8009350,candidate,13.75207851,143.03241,0.836,2.8831,1215.6,87.86,36.8,1,0.567,4802,4.616,0.699,0.738,15.587
8487838,non-candidate,1.061937837,131.7269,0.125,2.31,52,87.98,16.3,1,0.1705,5893,4.505,0.941,1.033,14.171
9782691,candidate,11.38840217,174.55377,0.243,3.6949,438,89.4,34.7,2,0.0063,5876,4.151,1.456,1.093,14.615
5529738,non-candidate,0.759762021,131.79506,1.183,4.912,227,11.71,65.3,1,0.6083,6386,4.402,1.123,1.161,14.871
8847111,non-candidate,0.575884418,132.00778,1.258,2.0734,272.2,18.77,43.2,1,0.9853,6290,4.442,1.044,1.097,15.024
4571004,non-candidate,36.616669,156.001,0.3646,8.62,237.4,89.38,3.4,5,,5780,4.438,1,1,13.482
9414417,candidate,53.5057611,172.98304,0.46,10.5616,195.6,89.25,71.2,1,0.6507,6247,4.016,1.762,1.174,9.582
8378634,non-candidate,3.629442796,134.70066,0.97,5.63,426.6,59.37,76.4,1,0.7952,6506,4.336,1.217,1.171,13.055
